id,flag,gdr_cd,age,mrg_situ_cd,acdm_deg_cd,job_year,ic_ind,fr_or_sh_ind,dnl_mbl_bnk_ind,dnl_bind_cmb_lif_ind,hav_car_grp_ind,hav_hou_grp_ind,l6mon_agn_ind,frs_agn_dt_cnt,vld_rsk_ases_ind,fin_rsk_ases_grd_cd,confirm_rsk_ases_lvl_typ_cd,cust_inv_rsk_endu_lvl_cd,l6mon_daim_aum_cd,tot_ast_lvl_cd,pot_ast_lvl_cd,bk1_cur_year_mon_avg_agn_amt_cd,l12mon_buy_fin_mng_whl_tms,l12_mon_fnd_buy_whl_tms,l12_mon_insu_buy_whl_tms,l12_mon_gld_buy_whl_tms,loan_act_ind,pl_crd_lmt_cd,ovd_30d_loan_tot_cnt,his_lng_ovd_day,hld_crd_card_grd_cd,crd_card_act_ind,l1y_crd_card_csm_amt_dlm_cd,perm_crd_lmt_cd,cur_debit_cnt,cur_credit_cnt,cur_debit_min_opn_dt_cnt,cur_credit_min_opn_dt_cnt,cur_debit_crd_lvl
U7A4BAD,0,M,41,B,Z,3,0,0,0,1,0,0,0,-1,0,-1,4,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,3,1,0,3492,-1,10
U557810,0,M,35,A,G,4,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,4575,-1,10
U1E9240,0,M,53,B,C,9,0,0,1,1,0,0,1,935,1,3,3,6,7,-1,2,8,6,0,0,0,0,0,0,0,-1,0,0,7,2,0,4894,-1,40
U6DED00,0,F,41,B,Z,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,4938,-1,10
UDA8E28,0,F,42,B,Z,3,1,1,1,0,0,1,0,-1,0,-1,-1,1,5,-1,3,0,0,0,0,0,1,6,0,4,-1,0,0,2,5,0,2378,-1,20
UE2EC3C,0,F,48,B,31,8,0,1,0,0,0,0,0,-1,0,-1,-1,1,3,-1,3,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1668,-1,20
UCEC228,0,F,39,A,30,2,0,0,1,0,0,0,0,350,1,1,2,1,5,6,3,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,2309,-1,20
U2E6C29,1,M,66,B,Z,30,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,6,0,0,0,0,0,0,0,0,0,-1,0,0,3,2,0,5429,-1,20
UB67E38,0,F,39,B,31,1,0,0,0,0,0,0,0,-1,0,-1,-1,1,1,6,5,0,0,0,0,0,0,0,0,0,-1,0,0,4,3,0,6525,-1,10
UF09E80,0,M,48,B,30,7,1,1,1,0,1,0,0,-1,0,-1,-1,4,9,10,1,0,0,0,0,0,1,0,0,4,-1,0,0,7,2,0,1982,-1,10
